边 : 字 0.0515842404875 | 亲 0.055637030726 | 景 0.0575127583749 | 藏 0.0644112399972 | 边 0.0670720854676 | 判 0.0725851002573 | 苏 0.0743319970543 | 类 0.083212326147 | 树 0.0836415024504 | 绍 0.0860969135025 | 责 0.0913204381213 | 房 0.0929445356894 | 止 0.0965946518374 | 号 0.0966205213141 | 河 0.0972956113869 | 客 0.100862778948 | 写 0.10341207245 | 富 0.104807801633 | 菜 0.1126050172 | 约 0.11773830607 | 油 0.119073481935 | 售 0.122507067308 | 谈 0.123112576746 | 星 0.123387996256 | 索 0.124932057801 | 票 0.130813333366 | 则 0.133311601222 | 密 0.136725437529 | 试 0.141150033163 | 图 0.142049105932 | 血 0.144696162959 | 洋 0.145617971408 | 幕 0.14614137784 | 湾 0.148654214363 | 师 0.149547177237 | 语 0.150047057961 | 型 0.152005289201 | 障 0.152070008605 | 税 0.156380433255 | 城 0.156533978373 | 土 0.156636304059 | 疗 0.158873260606 | 留 0.163524342151 | 功 0.165767977113 | 彩 0.167497898439 | 迹 0.169977057864 | 身 0.176833111934 | 卖 0.178050357426 | 空 0.178501559541 | 获 0.180164097807 | 

警 : 购 0.0626097440365 | 洋 0.0685564223542 | 卖 0.0712516218631 | 客 0.0748885410857 | 语 0.0798110400419 | 图 0.0947744259366 | 留 0.0971381392729 | 写 0.0972393074183 | 票 0.101349594827 | 空 0.106172800252 | 房 0.11871183309 | 征 0.119374353592 | 演 0.119913722105 | 升 0.120096378422 | 福 0.123315032599 | 伤 0.130539035017 | 税 0.130925086556 | 密 0.14005396859 | 控 0.140881612857 | 灾 0.144547582542 | 围 0.152499894294 | 找 0.153331138365 | 卫 0.153747053778 | 销 0.154104764331 | 付 0.159659546263 | 测 0.160756142763 | 予 0.161433321661 | 试 0.162163537817 | 警 0.164357555822 | 救 0.165406212947 | 送 0.17296632312 | 裁 0.1737586177 | 彩 0.173790558308 | 判 0.177866999763 | 脱 0.179634416848 | 累 0.184031363222 | 疾 0.194538195391 | 杂 0.197213702952 | 师 0.203946474022 | 舞 0.2043291444 | 岛 0.205549243449 | 铁 0.209039509254 | 落 0.212265631629 | 宝 0.213819410956 | 叫 0.214206662284 | 型 0.214526793029 | 售 0.218054246002 | 值 0.224317236185 | 桥 0.233608266497 | 责 0.234191088295 | 

极 : 持 0.0667974187379 | 求 0.0973535714685 | 点 0.137651428912 | 此 0.13979215796 | 东 0.165379699031 | 西 0.179454314695 | 极 0.194031279655 | 村 0.19599453501 | 亲 0.202077697346 | 善 0.204197176342 | 则 0.208443293281 | 边 0.215627463492 | 务 0.227862816205 | 言 0.231539247576 | 目 0.245518177345 | 请 0.254196789744 | 河 0.262535624005 | 取 0.273258383308 | 身 0.288327662653 | 止 0.292486296075 | 过 0.300109475704 | 藏 0.31985323754 | 景 0.325404343107 | 字 0.326169369092 | 苏 0.326668414863 | 谈 0.333507482418 | 绍 0.334486515514 | 城 0.343232312443 | 功 0.352149909005 | 树 0.352354472154 | 房 0.379089255151 | 号 0.383411988338 | 责 0.396586868721 | 候 0.398052496287 | 约 0.40798994744 | 觉 0.412632998557 | 类 0.412924621776 | 通 0.42082794169 | 五 0.423923654326 | 前 0.433806895283 | 富 0.439532643693 | 入 0.441981859154 | 你 0.442997773591 | 客 0.447713044262 | 息 0.451127244273 | 判 0.463334481755 | 赛 0.466995766026 | 举 0.471428723022 | 商 0.477794051594 | 势 0.478094850382 | 

回 : 青 0.138701505987 | 印 0.177208420291 | 连 0.190807971921 | 转 0.256994667863 | 感 0.273514552888 | 回 0.28575753548 | 防 0.292842254544 | 讲 0.3084531445 | 热 0.31422335942 | 相 0.316665524848 | 兴 0.320446280486 | 采 0.362482195238 | 铁 0.376846800503 | 减 0.385628310541 | 货 0.390855244678 | 土 0.39694289734 | 专 0.400849533616 | 抓 0.401474512116 | 曾 0.416004397624 | 优 0.423735340796 | 调 0.425089946278 | 足 0.44140130039 | 约 0.453217509974 | 销 0.46517008372 | 任 0.465880690577 | 卫 0.470950865624 | 支 0.477974874768 | 试 0.483955915969 | 演 0.486925571834 | 获 0.491741073969 | 空 0.495125170298 | 半 0.495918903976 | 欢 0.496762896368 | 前 0.501773879935 | 认 0.502174678876 | 消 0.524021434396 | 八 0.529608864421 | 运 0.530644513493 | 城 0.531897571325 | 谈 0.532306629727 | 扶 0.534502270786 | 扩 0.536685109123 | 审 0.540384294341 | 福 0.557497803179 | 死 0.558336294199 | 宝 0.559012446567 | 创 0.564701273318 | 形 0.564703303394 | 带 0.564714082062 | 救 0.56581029684 | 

境 : 划 0.148446623115 | 责 0.159963710251 | 师 0.176677110274 | 值 0.18097087086 | 型 0.195155980931 | 房 0.208544015717 | 身 0.213685821071 | 字 0.214627686482 | 客 0.218305604834 | 视 0.221455891119 | 判 0.226632896247 | 售 0.230136432517 | 式 0.230964907375 | 油 0.256076274294 | 空 0.256722011056 | 景 0.27164210983 | 势 0.274833057562 | 险 0.275184600115 | 洋 0.279910324673 | 价 0.280325088631 | 警 0.282385177008 | 星 0.290543247919 | 城 0.290769079382 | 兴 0.291272881093 | 购 0.294845076038 | 易 0.294869098929 | 票 0.294952918623 | 富 0.296040023356 | 围 0.298712956394 | 德 0.299318421688 | 镇 0.300703618066 | 告 0.301114613474 | 销 0.30918910375 | 落 0.310106217329 | 路 0.310482843948 | 约 0.313422166108 | 士 0.313804740799 | 写 0.317347308226 | 图 0.321592288754 | 试 0.322077063812 | 举 0.325172252124 | 亲 0.32954345634 | 演 0.332086696693 | 村 0.334512815703 | 运 0.338487297228 | 藏 0.342490148607 | 语 0.350877637904 | 卖 0.356041179141 | 军 0.360202064239 | 略 0.36961129673 | 

菔 : 邡 0.00995937785908 | 饧 0.009971952007 | 歆 0.00997535057398 | 呷 0.00999737629963 | 妁 0.0100245078714 | 挈 0.0100483358049 | 佞 0.0100651395275 | 箢 0.0100654141308 | 氽 0.0100706295998 | 驸 0.0101044459566 | 澍 0.0101057216169 | 豢 0.0101064754608 | 襁 0.0101076774836 | 踅 0.0101161301268 | 榉 0.0101185277394 | 牖 0.0101231522247 | 嵋 0.0101269003715 | 诹 0.0101385422069 | 叟 0.0101461236569 | 诨 0.0101694571371 | 屣 0.0101799642515 | 蛔 0.0101835227295 | 笈 0.0101960632617 | 髋 0.0102016822774 | 圮 0.0102128502498 | 鼾 0.0102128873456 | 鲱 0.0102176420849 | 缇 0.010221381622 | 芩 0.0102241410184 | 鳜 0.0102520852376 | 蟑 0.0102924755314 | 噘 0.010294773407 | 啭 0.0103039721557 | 胪 0.0103170397007 | 篁 0.0103171581207 | 缱 0.0103218488912 | 聒 0.0103333101814 | 楸 0.0103427639601 | 骐 0.010349823869 | 筚 0.0103505068596 | 绻 0.0103565636986 | 蹉 0.0103651552349 | 樯 0.010366482106 | 涑 0.0103676821061 | 诟 0.0103758774112 | 蚋 0.0103835067959 | 嫔 0.0103848844341 | 苋 0.0103849981016 | 闫 0.0103862359353 | 泷 0.0103937507567 | 

淌 : 呐 0.0169434380435 | 琢 0.0171500423621 | 懒 0.017365154463 | 捏 0.0174932493133 | 焉 0.0177076695508 | 佑 0.0177851259867 | 氨 0.0179958160271 | 泵 0.0180379084876 | 颤 0.0180530283226 | 碟 0.0181152412302 | 鸦 0.0181266279619 | 剔 0.0181408025535 | 凿 0.0185793325603 | 羞 0.0185798135929 | 敷 0.0186242039882 | 凛 0.0187028837151 | 拣 0.0188934145495 | 诀 0.0191193448397 | 烫 0.0191809149542 | 葆 0.0192518725106 | 麓 0.0193108901093 | 吵 0.0193937931454 | 侠 0.0195282287038 | 磷 0.0195737743816 | 肾 0.0196010742644 | 扒 0.0196035265094 | 耸 0.0197166442244 | 涡 0.0197448552333 | 瞒 0.0201465357225 | 咋 0.0201947582498 | 哗 0.0203989027578 | 毯 0.0204408003075 | 侃 0.0205036391248 | 淌 0.0207796435825 | 猴 0.0209606207173 | 祈 0.0210041494096 | 啸 0.0210416170068 | 仑 0.0211996551465 | 潇 0.0213253262389 | 苛 0.0213614990716 | 腕 0.0217259797748 | 瑟 0.0218350622922 | 椎 0.0218680680516 | 惶 0.0218729526068 | 蕉 0.0219436017149 | 瞄 0.02209324909 | 氮 0.0221389610498 | 俯 0.0225819206894 | 嗓 0.0226666590983 | 翩 0.0227920623291 | 

坚 : 具 0.417003334967 | 采 0.464238173804 | 获 0.484480891027 | 创 0.495817892663 | 专 0.511839486069 | 八 0.519017240951 | 曾 0.521206970563 | 均 0.523499632454 | 试 0.52800951663 | 印 0.530596693035 | 参 0.530725309872 | 约 0.533852843757 | 谈 0.53983835811 | 带 0.54033024449 | 兴 0.542222523343 | 足 0.548323840327 | 认 0.558976470103 | 半 0.563093408479 | 转 0.567613032196 | 扩 0.572866278506 | 连 0.575458192271 | 抓 0.577120934694 | 审 0.578833358913 | 独 0.581559412894 | 功 0.585653797845 | 该 0.591529917792 | 类 0.592786190189 | 找 0.605097577034 | 继 0.609915146839 | 城 0.62512236106 | 支 0.627178768608 | 密 0.627615639955 | 课 0.628535071615 | 目 0.635783291284 | 商 0.642457012368 | 税 0.648972715134 | 青 0.651371993225 | 由 0.653306962377 | 你 0.669200919343 | 已 0.671879373306 | 取 0.672316108056 | 讲 0.676387720558 | 减 0.677900831684 | 调 0.682387714255 | 留 0.684224200967 | 举 0.687109666694 | 写 0.693281026371 | 债 0.708999083415 | 某 0.709675893403 | 扶 0.711445816538 | 

热 : 热 0.119492582281 | 青 0.151388046997 | 欢 0.156383628312 | 减 0.165215920124 | 连 0.171734667238 | 印 0.187005597128 | 铁 0.195881220234 | 死 0.199852241299 | 压 0.20200840995 | 伊 0.204914969637 | 赞 0.208224649799 | 货 0.215076789618 | 抓 0.215132754911 | 防 0.215895977514 | 曾 0.217307378819 | 卫 0.217476156232 | 兴 0.218407191825 | 宝 0.219748027251 | 讲 0.221113101224 | 官 0.225442263975 | 脱 0.229713862792 | 扶 0.230049130768 | 借 0.230910251047 | 采 0.232791063802 | 扩 0.235014866154 | 禁 0.235492587795 | 补 0.241589775739 | 土 0.242834217887 | 审 0.243192711598 | 救 0.246777911776 | 半 0.253994092595 | 福 0.260697042333 | 汽 0.266913666125 | 伟 0.275872070664 | 遗 0.276986785287 | 试 0.277661834199 | 班 0.280053806311 | 独 0.281722882203 | 足 0.284435394584 | 课 0.284709599592 | 博 0.286979272598 | 获 0.287173244004 | 找 0.287203803201 | 八 0.28830551845 | 避 0.288749011526 | 销 0.288799337792 | 胜 0.289228742369 | 驻 0.289314546399 | 宗 0.290895381615 | 短 0.293063965304 | 

抓 : 扩 0.0426896814634 | 曾 0.0480540513465 | 采 0.0501579628811 | 审 0.0524948483634 | 半 0.0605921475011 | 抓 0.0617935556681 | 独 0.0741316758775 | 课 0.0847269980738 | 减 0.0959264529699 | 继 0.0962313773554 | 找 0.10124890471 | 获 0.104694902742 | 八 0.109377085517 | 扶 0.110245293632 | 借 0.114625200292 | 债 0.130807196538 | 足 0.132998916453 | 短 0.141275537272 | 拥 0.144290570517 | 试 0.15261463904 | 印 0.156482977478 | 连 0.159711594583 | 汽 0.164187908161 | 宝 0.170358523382 | 压 0.184931891965 | 密 0.186498180693 | 讲 0.188722483911 | 某 0.191063385316 | 救 0.191066669236 | 禁 0.194665430702 | 兴 0.199311459943 | 约 0.205820631583 | 留 0.207180570597 | 裁 0.209075258384 | 卫 0.212583329083 | 赞 0.213379792344 | 涉 0.215391275632 | 福 0.216746911923 | 征 0.219092895658 | 笔 0.228167566575 | 伟 0.235283501271 | 尊 0.236165665758 | 脱 0.237427646126 | 补 0.240202674715 | 税 0.246184441318 | 宗 0.247918678041 | 灵 0.249994888396 | 铁 0.250222313085 | 驻 0.252267992954 | 硬 0.254616553274 | 

厂 : 灾 0.0787664052513 | 洋 0.0832478698321 | 写 0.0905221508363 | 购 0.0918730005894 | 语 0.093487665212 | 升 0.103180163198 | 卖 0.104466697122 | 控 0.107165367208 | 值 0.113669388733 | 送 0.113862328935 | 演 0.115252893442 | 留 0.118516903735 | 图 0.119173565333 | 客 0.11946538634 | 师 0.123732983533 | 空 0.127292678503 | 器 0.130382410657 | 测 0.135837726671 | 票 0.136087830807 | 围 0.13899833512 | 落 0.140617130779 | 伤 0.144023886174 | 房 0.146411137902 | 税 0.148099117 | 责 0.149724258042 | 彩 0.149857062645 | 岸 0.153035401166 | 守 0.162021930781 | 杂 0.162825594128 | 岛 0.163444841918 | 杯 0.168670416523 | 警 0.172191308665 | 判 0.173572032239 | 价 0.175861998723 | 斗 0.176239416445 | 销 0.176248187574 | 福 0.177128382311 | 染 0.177802590584 | 奇 0.181786116378 | 舞 0.183756145035 | 救 0.184983729009 | 亮 0.185204517272 | 患 0.186772606356 | 征 0.188529467774 | 厂 0.19202202194 | 德 0.192759425225 | 付 0.193304549627 | 售 0.193545804336 | 予 0.197513939516 | 桥 0.200754010156 | 

车 : 车 0.228430222005 | 河 0.230595461904 | 油 0.25935527775 | 德 0.261949858472 | 拉 0.265473199079 | 路 0.273598851026 | 富 0.280339783725 | 亲 0.283629798423 | 边 0.332102636725 | 华 0.336144273916 | 价 0.366640002705 | 销 0.373116230653 | 空 0.385068717413 | 客 0.387530979329 | 军 0.394381240681 | 警 0.396461874599 | 围 0.39999133198 | 房 0.410489316579 | 势 0.412529591736 | 利 0.412976899359 | 售 0.415461550065 | 图 0.415671258345 | 货 0.417125278606 | 气 0.420955560366 | 兵 0.425540200342 | 西 0.427856704895 | 器 0.440903881413 | 东 0.441803492045 | 师 0.4442216592 | 星 0.444447341233 | 索 0.447957574466 | 树 0.45978536594 | 镇 0.462081552633 | 光 0.472300090327 | 字 0.475020189155 | 克 0.477917820174 | 视 0.48279930276 | 责 0.485068900723 | 运 0.491030504764 | 菜 0.498237810084 | 舞 0.498471929798 | 察 0.506809869258 | 歌 0.511143192495 | 铁 0.513365417156 | 厂 0.524917294052 | 洋 0.530780826052 | 血 0.531984303551 | 土 0.535990739736 | 易 0.540226568944 | 苏 0.546390904588 | 

型 : 类 0.130538729628 | 写 0.163069939722 | 客 0.186921059421 | 洋 0.187542911285 | 语 0.188508156121 | 留 0.200014043995 | 演 0.20124815898 | 卖 0.205400114373 | 均 0.206178083297 | 获 0.213448279307 | 图 0.213605335063 | 密 0.217857747759 | 裁 0.219937524303 | 购 0.225308342816 | 房 0.228175630343 | 型 0.230157905118 | 足 0.233872269779 | 兴 0.23506754207 | 票 0.236194190223 | 福 0.23657492812 | 试 0.237139149825 | 空 0.239974367086 | 找 0.241636843729 | 卫 0.243809658099 | 征 0.244470993259 | 土 0.246812396848 | 约 0.25220053416 | 号 0.25680017865 | 累 0.257629711263 | 谈 0.260858058868 | 铁 0.262495191024 | 税 0.266109841792 | 送 0.266428408726 | 销 0.267057145719 | 升 0.269026029079 | 功 0.274398337619 | 付 0.27620637052 | 疾 0.284780081567 | 债 0.286648300406 | 死 0.289354195387 | 血 0.289524206772 | 伟 0.291195274382 | 笔 0.292143887102 | 障 0.293037948859 | 脱 0.293468762706 | 彩 0.294151265386 | 判 0.295335639531 | 歌 0.297177586025 | 某 0.300273633923 | 岸 0.30210349821 | 

责 : 价 0.122904123973 | 责 0.190573209332 | 运 0.206322087367 | 举 0.23906029013 | 客 0.253977615714 | 师 0.270415268555 | 值 0.280250542238 | 军 0.283070276013 | 空 0.286622602785 | 销 0.290423961019 | 型 0.296898696292 | 兴 0.29884764632 | 划 0.320897528844 | 落 0.339341801567 | 城 0.352380604843 | 房 0.355202330902 | 演 0.364910064129 | 图 0.380784056487 | 购 0.39752407258 | 视 0.397762959972 | 德 0.401676269936 | 商 0.402082806967 | 式 0.404840117317 | 身 0.415783373201 | 写 0.418163661624 | 转 0.419188965534 | 警 0.427916862066 | 售 0.438163035215 | 围 0.440791091379 | 税 0.444157915323 | 洋 0.4442555581 | 油 0.450756015089 | 试 0.457909293514 | 相 0.459776454425 | 获 0.463603626663 | 送 0.469500509297 | 约 0.473733996168 | 村 0.488441033102 | 厂 0.505299555843 | 判 0.51366801151 | 带 0.517001382394 | 班 0.520592139428 | 调 0.525257430206 | 卫 0.531831712911 | 富 0.531850905086 | 路 0.549852587919 | 参 0.552698831197 | 镇 0.552892974315 | 通 0.557034153597 | 留 0.558262191636 | 

魏 : 披 0.0383002915595 | 颜 0.0416323085219 | 湘 0.0455071587339 | 仔 0.0456343061677 | 稍 0.0470845522664 | 滴 0.0477314304905 | 漂 0.0478097650395 | 逆 0.0490564378676 | 劝 0.0503497257632 | 丈 0.0510250119511 | 雇 0.0514450825994 | 惨 0.052648379779 | 夹 0.0528483358076 | 昭 0.0534289925519 | 攀 0.053808266069 | 挫 0.0550857141622 | 疲 0.0564562194715 | 帅 0.05685733775 | 乔 0.0576628556727 | 苍 0.0583643946798 | 嘴 0.0587206595376 | 框 0.0588272754003 | 挣 0.0591332316639 | 凶 0.0592180009166 | 砍 0.0603002182861 | 悠 0.060734850965 | 屏 0.0608410158292 | 饲 0.0618388519829 | 仲 0.0623733397149 | 赚 0.0626481946563 | 蕴 0.0627007326586 | 蓬 0.0630752727118 | 拘 0.0632847798599 | 屈 0.0637848073697 | 虹 0.0638552198019 | 冻 0.0651521987635 | 畏 0.0651958973388 | 柔 0.0655511777847 | 磁 0.0655560159375 | 嫁 0.0655595466448 | 泡 0.0656606923124 | 卜 0.0659609432005 | 狂 0.0668845495384 | 脉 0.0672867846945 | 谱 0.0677392412523 | 插 0.0697999536491 | 肝 0.0698024187177 | 衔 0.0698081001231 | 灿 0.0715077350038 | 淹 0.0718939358643 | 

五 : 谈 0.135152192933 | 约 0.206265632509 | 功 0.214978047681 | 试 0.222216114978 | 城 0.225884926539 | 采 0.231682864296 | 具 0.240123692391 | 带 0.240616254668 | 举 0.25967950144 | 商 0.269573246513 | 转 0.277982083081 | 写 0.281633434445 | 足 0.286000167625 | 参 0.287327684133 | 获 0.294477592156 | 类 0.300718740645 | 印 0.30130789623 | 半 0.301509923529 | 连 0.310960717363 | 八 0.314024989121 | 曾 0.315353039683 | 兴 0.319031958354 | 创 0.335544754646 | 独 0.366169030417 | 调 0.379658129527 | 税 0.380693452957 | 继 0.382780429725 | 认 0.387006970199 | 专 0.389782927115 | 演 0.402355205598 | 村 0.403199220859 | 抓 0.407539823284 | 留 0.408740336151 | 客 0.409956252412 | 密 0.419593363865 | 厂 0.423434470974 | 价 0.430996102865 | 取 0.432782747594 | 均 0.436659151713 | 福 0.44267673007 | 找 0.442949696986 | 审 0.454918226412 | 卫 0.457688182358 | 土 0.459944608551 | 购 0.474877603245 | 送 0.475665935178 | 铁 0.482761938233 | 某 0.483329737272 | 图 0.484105401454 | 你 0.49200146901 | 

帽 : 稻 0.0161071734733 | 磨 0.0197366729549 | 霞 0.019837448269 | 暗 0.0209777067779 | 尾 0.0214405478499 | 稀 0.0215155814426 | 隔 0.0215583197831 | 炎 0.0227824013727 | 梯 0.0232262909277 | 癌 0.0234882229387 | 欠 0.0244076398279 | 旋 0.0252457282024 | 糖 0.0254470994209 | 芬 0.0265533961507 | 铺 0.0270325594047 | 漏 0.0275457601858 | 霍 0.0278213010133 | 墓 0.0284093597945 | 娜 0.0287006745529 | 柴 0.0290402732698 | 柳 0.0312834400636 | 狂 0.0314314242382 | 伸 0.0329838212849 | 桌 0.0330141936467 | 耗 0.0330472566691 | 码 0.0335198545385 | 盗 0.0338544375408 | 拟 0.034336610232 | 蒂 0.0343648708042 | 腾 0.0349230234272 | 洞 0.0352344774211 | 袭 0.0358923743973 | 闯 0.0362982180374 | 池 0.0366061940751 | 凤 0.0373166527752 | 纵 0.0374295126313 | 欲 0.0382353368155 | 屏 0.0382649685167 | 钻 0.0383183366231 | 玛 0.0390724880965 | 屈 0.0393172454862 | 踪 0.0407078856302 | 弄 0.0409661255073 | 瓜 0.042015561712 | 赋 0.0427178976112 | 扰 0.0428122119434 | 饲 0.0430666700779 | 恒 0.0448376350698 | 捕 0.0448455294342 | 昂 0.0449239862964 | 

群 : 创 0.0435179415022 | 调 0.0548769207098 | 转 0.0604361014343 | 认 0.0619674004785 | 参 0.0670307869133 | 带 0.0690779832949 | 专 0.0693072209298 | 兴 0.071352290333 | 运 0.0821115468945 | 印 0.0854348680435 | 商 0.0858105882719 | 谈 0.0862024886215 | 形 0.0871245025171 | 价 0.0903797622981 | 相 0.0907344473957 | 举 0.0946358822533 | 已 0.0962269667119 | 投 0.103541903266 | 足 0.105986810878 | 讲 0.109567557645 | 城 0.110561305314 | 青 0.111333045573 | 具 0.112650124669 | 演 0.119097547279 | 采 0.122836424538 | 获 0.125059456806 | 约 0.137084156653 | 销 0.137504679146 | 连 0.137724711924 | 任 0.139065628613 | 试 0.140458470782 | 服 0.142130696572 | 送 0.15319975447 | 厂 0.155125968455 | 类 0.15593711959 | 写 0.156145282762 | 抓 0.157590733166 | 功 0.165538017582 | 支 0.168376954588 | 军 0.180937257881 | 税 0.18144570414 | 八 0.181454426779 | 减 0.18170430593 | 卫 0.182636069189 | 核 0.183032399234 | 空 0.183037453672 | 救 0.184399448563 | 曾 0.187667761783 | 铁 0.188606873708 | 班 0.18941724853 | 

垭 : 腋 0.0164560101872 | 咭 0.0164629276843 | 骛 0.0165283983838 | 夼 0.0165541387294 | 嗤 0.0165739746806 | 蜷 0.0165837279814 | 酪 0.0166059502174 | 渑 0.0166278327372 | 滓 0.0166486040208 | 阄 0.0166694773022 | 肽 0.0167798704158 | 噎 0.0168900803442 | 沏 0.0169463694534 | 簪 0.0169577376806 | 晌 0.0169791170688 | 磙 0.0169910754443 | 荚 0.017000443606 | 孑 0.0170488412462 | 鳅 0.0170508661898 | 阉 0.0170768472231 | 酰 0.0170782746523 | 碓 0.0170801217083 | 钕 0.0171089717884 | 鹦 0.0171113785027 | 芡 0.0171815016732 | 嗨 0.017196312313 | 猬 0.0172298242435 | 茭 0.0172604446796 | 琊 0.0173437444181 | 擘 0.0173807937843 | 蕨 0.0173825419689 | 嗽 0.0173938819592 | 镉 0.0174089265698 | 匍 0.0174269073447 | 菽 0.0174418496246 | 缳 0.017449399276 | 羟 0.0174748897136 | 馗 0.017475078511 | 滢 0.0174802374374 | 琰 0.0174842425842 | 怂 0.0174907941275 | 椴 0.0175291352868 | 朊 0.0175320012246 | 鲢 0.0175349550167 | 洄 0.0175494407216 | 橇 0.017658572847 | 碣 0.0176602176285 | 杲 0.0176628084698 | 诏 0.0176989592104 | 筵 0.0177087381287 | 

翘 : 祠 0.077342732794 | 捎 0.0775426468563 | 矫 0.078157396054 | 翘 0.0782017399062 | 祁 0.0784796251389 | 匡 0.0791811005257 | 庵 0.0792269321357 | 弓 0.079381471625 | 猿 0.0794088642733 | 坍 0.0794361930803 | 坯 0.0798017654627 | 邃 0.0801830584859 | 梳 0.0802134907743 | 刁 0.0802209560651 | 臃 0.0802370623822 | 虔 0.0805232375141 | 岔 0.0805464587473 | 皱 0.0805531519689 | 刨 0.080585665758 | 仕 0.0805975856036 | 诠 0.0808519306039 | 蠢 0.0809427392401 | 侄 0.0809656098102 | 珀 0.080975172286 | 痰 0.0809892719184 | 漩 0.0811779383493 | 辗 0.0812267683159 | 掷 0.0812861851459 | 贱 0.0814693744627 | 疤 0.0815871076284 | 逗 0.0816201225529 | 跤 0.0817852256712 | 屁 0.0817981285198 | 榕 0.0818324248419 | 髦 0.0818414166589 | 拴 0.0819125029498 | 骋 0.0819142392126 | 撬 0.0819545282112 | 馒 0.0819976183487 | 锄 0.082138501277 | 茧 0.0821390569345 | 哉 0.0821950970238 | 揪 0.0825060157509 | 摒 0.0826538490349 | 酱 0.082658140628 | 侮 0.0827148210139 | 泸 0.082935468952 | 氯 0.082946247587 | 澎 0.0831482339737 | 孵 0.0835326053958 | 

妩 : 虱 0.037856768116 | 蜃 0.0378747038022 | 镳 0.0379597465263 | 砷 0.0379808312391 | 暌 0.0380474610372 | 嗤 0.0380548103058 | 璎 0.038069015663 | 溆 0.0380873975258 | 霈 0.0381442705598 | 龉 0.0381703544633 | 滢 0.0381743589927 | 缛 0.0381987294443 | 抿 0.0382034541576 | 敕 0.0382146518879 | 馗 0.0382898120551 | 屐 0.0382996968833 | 萸 0.0382997666298 | 旌 0.0383237743905 | 琰 0.0383585347893 | 铳 0.0383707626589 | 蕨 0.0383777223503 | 蝠 0.0383875747912 | 噎 0.0384455473988 | 嗨 0.0384691514637 | 嗲 0.0384989211692 | 诒 0.038507970601 | 焖 0.0385080935723 | 艮 0.0385219979405 | 谪 0.0385321445545 | 幺 0.0385561468383 | 绂 0.0386147023401 | 蹩 0.0386249551479 | 酊 0.0386798363753 | 芡 0.0387077450549 | 龊 0.0387112527353 | 羟 0.0387752258361 | 瓤 0.0387884664176 | 鏊 0.0387973492731 | 钕 0.0387986561662 | 吡 0.0388024858036 | 榛 0.03881766813 | 蚤 0.0388249999633 | 夼 0.0388426655409 | 昀 0.038863368857 | 塍 0.0388687594251 | 悌 0.0388696510439 | 喑 0.0388879298328 | 裟 0.0389545250429 | 魇 0.0389730177609 | 猬 0.0389847537499 | 

咋 : 刁 0.0763096628941 | 侄 0.076348568364 | 刨 0.0767962927227 | 坍 0.0768042853978 | 虞 0.0769288734897 | 榨 0.0770222163615 | 梳 0.077141997445 | 髦 0.0771717153807 | 酱 0.0773794987771 | 辗 0.0774413573996 | 锄 0.0775126320375 | 溅 0.0775462793011 | 揪 0.077763155586 | 翘 0.0779954182292 | 弓 0.0780240331978 | 穹 0.0780358298343 | 沁 0.0781500401956 | 逗 0.0782488152267 | 掷 0.0782749844694 | 峭 0.0783489623588 | 馒 0.0783612997035 | 矫 0.0784179425629 | 跤 0.0786924559469 | 疤 0.0789108155997 | 斩 0.0789985904633 | 锚 0.0790360207903 | 宠 0.0790834235925 | 撬 0.0791536756968 | 捎 0.0792027900933 | 梧 0.0794041599065 | 氯 0.0796453797924 | 劾 0.0796651157795 | 倚 0.07970933286 | 椰 0.0798733793538 | 坞 0.0801091502702 | 贼 0.0801366415185 | 琐 0.0802933098622 | 侮 0.0803973041738 | 孵 0.0804015572127 | 祠 0.0805738775077 | 亢 0.0807326903851 | 贱 0.0808938780924 | 殴 0.0808962852065 | 钮 0.0809073445646 | 诠 0.080960087934 | 驿 0.0813072790206 | 邃 0.0814165590279 | 壑 0.081451249585 | 坯 0.0816522785326 | 恤 0.0817300382459 | 

磁 : 劝 0.030683660555 | 逆 0.032136230164 | 蕴 0.0323752980637 | 昭 0.0330913767791 | 惨 0.0333147997441 | 漂 0.03432883813 | 雇 0.034686810048 | 颜 0.0350332308916 | 湘 0.0353429578729 | 仔 0.0363493042542 | 稍 0.037792353802 | 挣 0.0383402060236 | 嘴 0.0386203215187 | 挫 0.0389849239817 | 披 0.0399509123101 | 谱 0.0403164101682 | 夹 0.0404020388492 | 凶 0.0414629584552 | 柔 0.0418878866406 | 赚 0.0419807465419 | 砍 0.0420506105852 | 饲 0.0423158365632 | 冻 0.0426900197092 | 仙 0.0435448131964 | 聪 0.0435807340161 | 畏 0.0442666010519 | 卜 0.0445770672185 | 嫁 0.0451210591516 | 衔 0.0452748798 | 幻 0.045533411881 | 苍 0.0459620799726 | 虹 0.046167071436 | 拳 0.0463828593878 | 拘 0.0468804141169 | 屏 0.0477401468512 | 稽 0.0478716121491 | 仲 0.0486445841574 | 脉 0.0493255287041 | 滴 0.0499952679483 | 帅 0.0508439724906 | 磁 0.0511728078134 | 垂 0.0522011855177 | 疲 0.0523409801301 | 攀 0.0526618901651 | 募 0.0527708516887 | 昂 0.052982862665 | 彦 0.053106975033 | 泡 0.0531208994248 | 悠 0.0531499756724 | 侦 0.0532097714047 | 

